u,v,key,osmid,bridge,highway,lanes,name,oneway,reversed,length,width,ref,service,access,tunnel,junction,maxspeed,landuse,geometry
276556799,7622913638,0,115625969,yes,primary,8,人民南路三段,True,False,85.5027565434148,,,,,,,,,"LINESTRING (104.0636678 30.6495033, 104.0636903 30.6487346)"
288416372,12785497143,0,642809740,,primary,3,蓉都大道,True,False,179.6869530131094,,,,,,,,,"LINESTRING (104.1042698 30.7250179, 104.1037331 30.7234692)"
288416374,9739652364,0,28623889,,unclassified,,,False,False,17.801467850501737,,,,,,,,,"LINESTRING (104.100294 30.7147948, 104.1004665 30.7147345)"
288416374,1815728532,0,28623889,,unclassified,,,False,True,20.517431606377258,,,,,,,,,"LINESTRING (104.100294 30.7147948, 104.1000959 30.7148658)"
288416374,3541376393,0,137133120,,primary,,昭觉寺南路,True,False,143.3164632536201,,,,,,,,,"LINESTRING (104.100294 30.7147948, 104.1007853 30.7160125)"
288416375,603415283,0,137132970,yes,primary,,昭觉寺南路,True,False,314.62110302801943,,,,,,,,,"LINESTRING (104.0971501 30.7099679, 104.0955788 30.7074818)"
288416379,1947168627,0,184255152,,primary,3,解放路一段,True,False,185.84166367539567,,,,,,,,,"LINESTRING (104.083862 30.6898358, 104.0828949 30.6883861)"
288416379,8722369259,0,184296328,,residential,,平福巷,False,False,15.245329569789842,,,,,,,,,"LINESTRING (104.083862 30.6898358, 104.084002 30.6897702)"
288416380,5213252919,0,132627766,,primary,,一环路北四段,True,False,19.324738850078813,,,,,,,,,"LINESTRING (104.080525 30.6847522, 104.0807094 30.6846811)"
288416380,6010992924,0,218383552,,primary,3,解放路二段,True,False,114.4396624088394,,,,,,,,,"LINESTRING (104.080525 30.6847522, 104.0798914 30.6838791)"
288416382,5422574959,0,890791667,,primary,,一环路北三段,True,False,37.49278699354652,,,,,,,,,"LINESTRING (104.0712064 30.6882756, 104.0708286 30.6883658)"
288416384,6224263415,0,26347795,yes,primary,,万福桥,True,False,112.5425025219684,,,,,,,,,"LINESTRING (104.0693596 30.6811455, 104.0691665 30.6801471)"
288416386,6224263520,0,664983825,,primary,4,人民中路三段,True,False,6.632884594307726,,,,,,,,,"LINESTRING (104.0690996 30.6799019, 104.0690625 30.6798515)"
288416398,288416399,0,267216225,,primary,3,抚琴西路,True,False,205.6279701172413,,,,,,,,,"LINESTRING (104.0354822 30.6800777, 104.0336018 30.6809746)"
288416399,3541389073,0,99811403,,tertiary,,金琴路,False,False,127.53114561347726,,,,,,,,,"LINESTRING (104.0336018 30.6809746, 104.034434 30.6818708)"
288416399,6557674599,0,99811403,,tertiary,,金琴路,False,True,8.342930674983268,,,,,,,,,"LINESTRING (104.0336018 30.6809746, 104.033544 30.6809184)"
288416399,5535138196,0,267216225,,primary,3,抚琴西路,True,False,154.73225491697804,,,,,,,,,"LINESTRING (104.0336018 30.6809746, 104.0323084 30.6818107)"
314622889,6295901865,0,100287339,,secondary,3,金盾路,True,False,13.635832368607899,,,,,,,,,"LINESTRING (104.0611096 30.6550992, 104.0612431 30.6550562)"
314622896,4230839437,0,28620974,,secondary,4,新光华街,True,False,10.22663681008031,,,,,,,,,"LINESTRING (104.0664592 30.6549023, 104.0663736 30.6549574)"
314622896,3681180644,0,1309526584,,secondary,4,大业路,True,False,184.97245130228725,,,,,,,,,"LINESTRING (104.0664592 30.6549023, 104.067511 30.6562982)"
314622903,11750318938,0,28620963,,unclassified,,银杏路,False,False,7.509521277390191,,,,,,,,,"LINESTRING (104.0389028 30.6485626, 104.0389813 30.6485628)"
314622903,5628752452,0,363921393,,primary,3,一环路西一段,True,False,20.10410695745749,,,,,,,,,"LINESTRING (104.0389028 30.6485626, 104.0388958 30.6487433)"
314622903,4548259606,0,487456463,,tertiary,,菊乐路,False,True,11.873192937717638,,,,,,,,,"LINESTRING (104.0389028 30.6485626, 104.0387787 30.6485609)"
314622918,4548211425,0,28620960,,primary,3,东城根南街,True,False,15.448222186522198,,,,,,,,,"LINESTRING (104.0581066 30.6607346, 104.0581033 30.6605957)"
314622918,6303009812,0,458891646,,primary,3,蜀都大道少城路,True,False,107.35460525314254,,,,,,,,,"LINESTRING (104.0581066 30.6607346, 104.0569854 30.6606906)"
314622921,1159945476,0,116428397,,secondary,2,文翁路,True,False,141.69343531256013,,,,,,,,,"LINESTRING (104.0580794 30.6564185, 104.057445 30.655267)"
314622924,1312615996,0,37129291,,secondary,2,通祠路,True,False,56.538859310327425,,,,,,,,,"LINESTRING (104.0537838 30.65015, 104.0541454 30.6505522)"
314622924,3089075664,0,116428418,,unclassified,,染靛街,False,False,61.89707159938356,,,,,,,,,"LINESTRING (104.0537838 30.65015, 104.054316 30.6498334)"
314622924,4550018852,0,589463659,,residential,,倒桑树街,False,True,11.080385259486096,,,,,,,,,"LINESTRING (104.0537838 30.65015, 104.0536902 30.6502087)"
314622925,314622924,0,37129291,,secondary,2,通祠路,True,False,59.97729563956284,,,,,,,,,"LINESTRING (104.0533864 30.6497328, 104.0537838 30.65015)"
314622926,314622925,0,37129291,,secondary,2,通祠路,True,False,42.06200963812522,,,,,,,,,"LINESTRING (104.0530555 30.6494837, 104.0533864 30.6497328)"
314622927,314622926,0,37129291,,secondary,2,通祠路,True,False,70.59666245967077,,,,,,,,,"LINESTRING (104.0524192 30.6491621, 104.0530555 30.6494837)"
314622931,5628752402,0,422821895,,secondary,,武侯祠大街,True,False,22.916335281187262,,,,,,,,,"LINESTRING (104.0511678 30.6486908, 104.0509584 30.6485907)"
314622931,5336411862,0,561000357,,tertiary,4,武侯祠大街,True,False,15.777110285818813,25,,,,,,,,"LINESTRING (104.0511678 30.6486908, 104.0512988 30.6486046)"
314622954,7768871872,0,37129290,yes,secondary,4,通祠路,True,False,59.02315804184395,,,,,,,,,"LINESTRING (104.0542256 30.6506463, 104.0545888 30.6510754)"
314622961,7882458302,0,116428414,viaduct,primary,2,南门桥,True,False,240.4841662815743,,,,,,,,,"LINESTRING (104.057493 30.6490387, 104.0563046 30.6471329)"
314622964,1445484328,0,114412857,,tertiary,,大学路,True,False,10.372582682816967,,,,,,,,,"LINESTRING (104.0637659 30.6461432, 104.0638623 30.6461005)"
314622968,1312615944,0,459085981,yes,primary,2,南门桥,True,False,83.4048070012694,,,,,,,,,"LINESTRING (104.0583913 30.650408, 104.0579289 30.6497721)"
