osmid,y,x,street_count,highway,railway,ref,geometry
276556799,30.6495033,104.0636678,2,,,,POINT (104.0636678 30.6495033)
288416372,30.7250179,104.1042698,2,,,,POINT (104.1042698 30.7250179)
288416374,30.7147948,104.100294,4,,,,POINT (104.100294 30.7147948)
288416375,30.7099679,104.0971501,2,,,,POINT (104.0971501 30.7099679)
288416379,30.6898358,104.083862,3,,,,POINT (104.083862 30.6898358)
288416380,30.6847522,104.080525,4,,,,POINT (104.080525 30.6847522)
288416382,30.6882756,104.0712064,2,,,,POINT (104.0712064 30.6882756)
288416384,30.6811455,104.0693596,2,,,,POINT (104.0693596 30.6811455)
288416386,30.6799019,104.0690996,2,,,,POINT (104.0690996 30.6799019)
288416398,30.6800777,104.0354822,2,,,,POINT (104.0354822 30.6800777)
288416399,30.6809746,104.0336018,4,,,,POINT (104.0336018 30.6809746)
314622889,30.6550992,104.0611096,2,,,,POINT (104.0611096 30.6550992)
314622896,30.6549023,104.0664592,4,,,,POINT (104.0664592 30.6549023)
314622903,30.6485626,104.0389028,4,,,,POINT (104.0389028 30.6485626)
314622918,30.6607346,104.0581066,4,traffic_signals,,,POINT (104.0581066 30.6607346)
314622921,30.6564185,104.0580794,2,,,,POINT (104.0580794 30.6564185)
314622924,30.65015,104.0537838,4,,,,POINT (104.0537838 30.65015)
314622925,30.6497328,104.0533864,2,,,,POINT (104.0533864 30.6497328)
314622926,30.6494837,104.0530555,2,,,,POINT (104.0530555 30.6494837)
314622927,30.6491621,104.0524192,2,,,,POINT (104.0524192 30.6491621)
314622931,30.6486908,104.0511678,3,,,,POINT (104.0511678 30.6486908)
314622954,30.6506463,104.0542256,2,,,,POINT (104.0542256 30.6506463)
314622961,30.6490387,104.057493,2,,,,POINT (104.057493 30.6490387)
314622964,30.6461432,104.0637659,3,,,,POINT (104.0637659 30.6461432)
314622968,30.650408,104.0583913,2,,,,POINT (104.0583913 30.650408)
314623088,30.6534113,104.0347608,3,,,,POINT (104.0347608 30.6534113)
314623092,30.6465707,104.0317992,2,,,,POINT (104.0317992 30.6465707)
314623094,30.6467449,104.032381,2,,,,POINT (104.032381 30.6467449)
314623095,30.6468103,104.0327704,2,,,,POINT (104.0327704 30.6468103)
314623096,30.6468864,104.0338429,2,,,,POINT (104.0338429 30.6468864)
314623097,30.6469123,104.0351017,4,,,,POINT (104.0351017 30.6469123)
314623104,30.6469497,104.0389332,2,,,,POINT (104.0389332 30.6469497)
314623105,30.645791,104.0389444,2,,,,POINT (104.0389444 30.645791)
314623106,30.6456718,104.035148,3,,,,POINT (104.035148 30.6456718)
314623111,30.648594,104.0365672,2,,,,POINT (104.0365672 30.648594)
314623112,30.6491419,104.0350235,4,,,,POINT (104.0350235 30.6491419)
314623117,30.6500424,104.0324152,3,,,,POINT (104.0324152 30.6500424)
314623119,30.6501008,104.0321723,2,,,,POINT (104.0321723 30.6501008)
314623121,30.6501468,104.0317615,2,,,,POINT (104.0317615 30.6501468)
314623148,30.6515841,104.0636071,3,,,,POINT (104.0636071 30.6515841)
314623155,30.6695601,104.0691163,2,,,,POINT (104.0691163 30.6695601)
314623160,30.6695736,104.0681138,4,,,,POINT (104.0681138 30.6695736)
314635488,30.6574409,104.0705626,3,,,,POINT (104.0705626 30.6574409)
314655435,30.7141622,104.1020652,2,,,,POINT (104.1020652 30.7141622)
314655465,30.7140003,104.1028594,2,,,,POINT (104.1028594 30.7140003)
314655466,30.713824,104.1029961,2,,,,POINT (104.1029961 30.713824)
314655467,30.7137422,104.1031061,2,,,,POINT (104.1031061 30.7137422)
314655472,30.7136911,104.1031923,2,,,,POINT (104.1031923 30.7136911)
314655473,30.7136604,104.1032874,2,,,,POINT (104.1032874 30.7136604)
314655475,30.7136467,104.1034019,2,,,,POINT (104.1034019 30.7136467)
314655476,30.7136607,104.1035873,2,,,,POINT (104.1035873 30.7136607)
314655477,30.7136748,104.1038218,4,,,,POINT (104.1038218 30.7136748)
314655478,30.714031,104.1040617,2,,,,POINT (104.1040617 30.714031)
314655479,30.714092,104.1040835,2,,,,POINT (104.1040835 30.714092)
314655480,30.7141623,104.1040726,2,,,,POINT (104.1040726 30.7141623)
314655481,30.7141998,104.1040944,2,,,,POINT (104.1040944 30.7141998)
314655482,30.7142279,104.1043125,2,,,,POINT (104.1043125 30.7142279)
314655483,30.7142185,104.1044052,2,,,,POINT (104.1044052 30.7142185)
314655484,30.7141998,104.1044542,2,,,,POINT (104.1044542 30.7141998)
314655487,30.714167,104.104476,2,,,,POINT (104.104476 30.714167)
314655493,30.7140873,104.1044815,2,,,,POINT (104.1044815 30.7140873)
314655496,30.7140029,104.1044924,2,,,,POINT (104.1044924 30.7140029)
314655498,30.7139326,104.1045415,2,,,,POINT (104.1045415 30.7139326)
314655499,30.713881,104.1045796,2,,,,POINT (104.1045796 30.713881)
314655500,30.7138529,104.1046287,2,,,,POINT (104.1046287 30.7138529)
314655501,30.7138389,104.1046887,2,,,,POINT (104.1046887 30.7138389)
314655502,30.7138295,104.1047323,2,,,,POINT (104.1047323 30.7138295)
314655503,30.7138107,104.104765,2,,,,POINT (104.104765 30.7138107)
314655504,30.7137779,104.1047759,2,,,,POINT (104.1047759 30.7137779)
314655505,30.7136935,104.1047923,2,,,,POINT (104.1047923 30.7136935)
314655506,30.7136232,104.1048032,2,,,,POINT (104.1048032 30.7136232)
314655507,30.7135717,104.1048413,2,,,,POINT (104.1048413 30.7135717)
314655508,30.7135342,104.1048959,2,,,,POINT (104.1048959 30.7135342)
314655513,30.7142185,104.1041416,2,,,,POINT (104.1041416 30.7142185)
314655514,30.7134545,104.1050267,2,,,,POINT (104.1050267 30.7134545)
314655515,30.713417,104.1051358,2,,,,POINT (104.1051358 30.713417)
314655516,30.7133936,104.1051739,2,,,,POINT (104.1051739 30.7133936)
314655517,30.7133561,104.1051848,2,,,,POINT (104.1051848 30.7133561)
314655518,30.7133139,104.1052121,2,,,,POINT (104.1052121 30.7133139)
314655519,30.7132576,104.1052393,3,,,,POINT (104.1052393 30.7132576)
314655520,30.7131779,104.1053048,2,,,,POINT (104.1053048 30.7131779)
314655522,30.7128264,104.1054847,2,,,,POINT (104.1054847 30.7128264)
314655523,30.7124561,104.1056319,2,,,,POINT (104.1056319 30.7124561)
314655524,30.7122686,104.1056973,2,,,,POINT (104.1056973 30.7122686)
314655525,30.7122264,104.1057519,2,,,,POINT (104.1057519 30.7122264)
314655526,30.7121654,104.1058282,2,,,,POINT (104.1058282 30.7121654)
314655527,30.7121326,104.1058991,4,,,,POINT (104.1058991 30.7121326)
314655528,30.7121232,104.1059863,2,,,,POINT (104.1059863 30.7121232)
314655529,30.7121046,104.1061115,2,,,,POINT (104.1061115 30.7121046)
314655530,30.7120442,104.1061637,2,,,,POINT (104.1061637 30.7120442)
314655531,30.7119788,104.1061665,2,,,,POINT (104.1061665 30.7119788)
314655532,30.7118137,104.1061515,2,,,,POINT (104.1061515 30.7118137)
